"articleid","subarticleid","articlename","external_str_id","ecrlongname","ecrsectionid","sectionname","articlebarcode","unitname","sectiontype","rest","flgbase","subarticlebarcode","flg_disable","flg_disable_name","preparemoment_name","baseprice","ecological_class","articletype","article_type_name","tax_system","tag_1212","tag_1162","tag_1162_name","subarticle_marking","subarticle_marking_name","has_any_bc_marking","has_mrc","isloto","class_path","strpath"
"1000205","1000206","КПГ(ГАЗ)","33","Газ компримированный","174550","ПРОЧИЕ ГСМ","33","м3/1","TYPE_FUEL","988000","SET_BASE","33","SET_NOTDISABLE","В работе","Нет","2500",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000223","1000224","АИ-100(АИ-100)","35","Бензин АИ-100","174550","ПРОЧИЕ ГСМ","35","л/1000","TYPE_FUEL",NULL,"SET_BASE","35","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000226","1000227","АИ-95(АИ-95)","4","Бензин 95 Евромакс","174543","НП","4","л/1000","TYPE_FUEL","8660355","SET_BASE","4","SET_NOTDISABLE","В работе","Нет","4600",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543","НП"
"1000247","1000248","ДТ(ДТ-Л)","5","ДТ летнее","174546","ДТ","5","л/1000","TYPE_FUEL",NULL,"SET_BASE","5","SET_NOTDISABLE","В работе","Нет","5700",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000261","1000262","Гослото «6 из 45»","5101","Гослото «6 из 45»","1005971","Столото","5101","шт/1","TYPE_GOODS",NULL,"SET_BASE","5101","SET_NOTDISABLE","В работе","Нет","5000",NULL,"AT_SERVICE","Услуга","ОСН",7,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,1,"1004614.1004828.1004834.1005971","Сопутствующий бизнес New/NON-FOOD/Лотерея/Столото"
"1000316","1000317","ДТ(ДТ-З)","6","ДТ  ОПТИ Евромакс арктическое","174546","ДТ","6","л/1000","TYPE_FUEL","47422973","SET_BASE","6","SET_NOTDISABLE","В работе","Нет","8888",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000325","1000326","testEco(АИ-10010Е)","66579","тесто эко.топливо","174550","ПРОЧИЕ ГСМ","66579","л/1000","TYPE_FUEL",NULL,"SET_BASE","66579","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000335","1000336","АИ-98(АИ-98)","7","Бензин АИ-98","174547","АИ-98","7","л/1000","TYPE_FUEL",NULL,"SET_BASE","7","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174547","НП/АИ-98"
"1000338","1000339","6 из 36","7101","6 из 36","1005971","Столото","7101","шт/1","TYPE_GOODS",NULL,"SET_BASE","7101","SET_NOTDISABLE","В работе","Нет","5000",NULL,"AT_SERVICE","Услуга","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",1,0,"1004614.1004828.1004834.1005971","Сопутствующий бизнес New/NON-FOOD/Лотерея/Столото"
"1000358","1000359","СУГ(ГАЗ)","8","ГАЗ сжиженный","174550","ПРОЧИЕ ГСМ","8","л/1000","TYPE_FUEL",NULL,"SET_BASE","8","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000364","1000365","Тестовое Эко Топливо(ТЭТ)","88","Тестовое Эко Топливо","174550","ПРОЧИЕ ГСМ","88","л/1000","TYPE_FUEL",NULL,"SET_BASE","88","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000370","1000371","ДТ ОПТИ(ДТ-А)","9","ДТ ОПТИ арктическое","174546","ДТ","9","л/1000","TYPE_FUEL",NULL,"SET_BASE","9","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000373","1000374","Задаток","94","Задаток","0","АВАНСЫ","bonus_deposit","шт/1","TYPE_DEPOSIT",NULL,"SET_BASE","bonus_deposit","SET_NOTDISABLE","В работе","Нет","10",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"0","АВАНСЫ"
"1000376","1000377","Оплата увоза","95","Оплата увоза","42","ОПЛАТА УВОЗА","supply_deposit","шт/1","TYPE_DEPOSIT",NULL,"SET_BASE","supply_deposit","SET_NOTDISABLE","В работе","Нет","1",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"42","ОПЛАТА УВОЗА"
"1000379","1000380","Авансы (ваучер)","96","Авансы (ваучер)","44","ВАУЧЕР","supply_deposit","руб/100","TYPE_DEPOSIT",NULL,"SET_BASE","supply_deposit","SET_NOTDISABLE","В работе","Нет","100",NULL,"AT_GOODS","Товар","ОСН",10,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"44","ВАУЧЕР"
"1000395","1000396","ДТ тест 1(ДТ тест 2)","99","ДТ тест 3","174546","ДТ","99","л/1000","TYPE_FUEL",NULL,"SET_BASE","99","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1003269","1003270","инт Р/ж Orbit крепкие зубы 16,3г","9900000005739","Р/ж Orbit крепкие зубы 16,3г","1000328","Орбит","4009900453776","шт/1","TYPE_GOODS",NULL,"SET_BASE","4009900453776","SET_NOTDISABLE","В работе","Нет","3333",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204.1000328","Сопутствующий бизнес New/Cafe/Орбит"
"1004701","1004702","Сигареты Winston blue","9900000010389","Сигареты Winston blue пачка","2","СОП.ТОВАРЫ","9900000010389","шт/1","TYPE_GOODS",NULL,"SET_BASE","9900000010389","SET_NOTDISABLE","В работе","Нет","4400",NULL,"AT_GOODS","Товар","ОСН",2,"UMCTOG_DataMatrixTobacco","Да","UMCTOG_NotMarked","Нет","UMCTOG_DataMatrixTobacco",1,0,"2","СОП.ТОВАРЫ"
"1004701","1004704","Сигареты Winston blue","9900000010389","Сигареты Winston blue пачка","2","СОП.ТОВАРЫ","46209474","шт/1","TYPE_GOODS",NULL,"SET_NOTBASE","46209474","SET_NOTDISABLE","В работе","Нет","4400",NULL,"AT_GOODS","Товар","ОСН",2,"UMCTOG_DataMatrixTobacco","Да","UMCTOG_DataMatrixTobacco","Да","UMCTOG_DataMatrixTobacco",1,0,"2","СОП.ТОВАРЫ"
